,words,freq
0,aback,23135851162
1,abase,13151942776
2,abate,12997637966
3,abbey,12136980858
4,abbot,9081174698
5,abhor,8469404971
6,abide,5933321709
7,abled,4705743816
8,abode,3750423199
9,abort,3400031103
10,about,3350048871
11,above,3228469771
12,abuse,3183110675
13,abyss,3086225277
14,acorn,2996181025
15,acrid,2813163874
16,actor,2633487141
17,acute,2590739907
18,adage,2398724162
19,adapt,2393614870
20,adept,2275595356
21,admin,2272272772
22,admit,2247431740
23,adobe,2062066547
24,adopt,2022459848
25,adore,1564202750
26,adorn,1551258643
27,adult,1544771673
28,affix,1518266684
29,afire,1483428678
30,afoot,1390661912
31,afoul,1356293641
32,after,1276852170
33,again,1242323499
34,agape,1229112622
35,agate,1226734006
36,agent,1134987907
37,agile,1082121730
38,aging,1059793441
39,aglow,1046319984
40,agony,1024093118
41,agora,1014107316
42,agree,999899654
43,ahead,998757982
44,aider,993536631
45,aisle,978481319
46,alarm,950751722
47,album,937112320
48,alert,932594387
49,algae,908705570
50,alibi,883223816
51,alien,844310242
52,align,842847219
53,alike,829969374
54,alive,827822032
55,allay,812395582
56,alley,810514085
57,allot,782849411
58,allow,755424983
59,alloy,741601852
60,aloft,719980257
61,alone,710741293
62,along,701170205
63,aloof,681410380
64,aloud,661844114
65,alpha,661809559
66,altar,660177731
67,alter,650621178
68,amass,645824184
69,amaze,639711198
70,amber,637134177
71,amble,630927278
72,amend,619571575
73,amiss,616829742
74,amity,611387736
75,among,611054034
76,ample,605984508
77,amply,604577485
78,amuse,602279334
79,angel,601317059
80,anger,596623239
81,angle,593086170
82,angry,578161543
83,angst,576436203
84,anime,575019382
85,ankle,572644147
86,annex,571848080
87,annoy,570699558
88,annul,566617666
89,anode,565123981
90,antic,562206804
91,anvil,548829454
92,aorta,541003982
93,apart,536746424
94,aphid,525627757
95,aping,520585287
96,apnea,519537222
97,apple,508609523
98,apply,502609275
99,apron,502043038
100,aptly,501651226
101,arbor,488967374
102,ardor,488024109
103,arena,484213771
104,argue,480303376
105,arise,480232730
106,armor,472590641
107,aroma,464532702
108,arose,462836169
109,array,459222855
110,arrow,453104133
111,arson,451092583
112,artsy,446236148
113,ascot,445315294
114,ashen,443949646
115,aside,441398439
116,askew,440416431
117,assay,437961375
118,asset,431934249
119,atoll,430847564
120,atone,425903347
121,attic,421438139
122,audio,421086358
123,audit,419765694
124,augur,419483948
125,aunty,417601616
126,avail,416210411
127,avert,414377632
128,avian,414028837
129,avoid,410780176
130,await,406908328
131,awake,405084642
132,award,403000411
133,aware,402028056
134,awash,399116355
135,awful,396975018
136,awoke,392956436
137,axial,391961061
138,axiom,390564835
139,axion,388448018
140,azure,387231739
141,bacon,384401868
142,badge,383787805
143,badly,380725892
144,bagel,380046348
145,baggy,379644437
146,baker,373906735
147,baler,373512569
148,balmy,373081242
149,banal,372948094
150,banjo,371852748
151,barge,370517038
152,baron,369928941
153,basal,366436194
154,basic,365796396
155,basil,365410017
156,basin,362082755
157,basis,361493758
158,baste,360468339
159,batch,352363058
160,bathe,352051342
161,baton,349286123
162,batty,347710184
163,bawdy,345413157
164,bayou,343057316
165,beach,342373303
166,beady,341583838
167,beard,340892856
168,beast,339926541
169,beech,339171382
170,beefy,339067778
171,befit,337841309
172,began,336631187
173,begat,334923368
174,beget,333272427
175,begin,330959949
176,begun,330505325
177,being,324272258
178,belch,323534251
179,belie,322331766
180,belle,321842984
181,belly,320105999
182,below,319376932
183,bench,318966441
184,beret,316446229
185,berry,315595259
186,berth,314593284
187,beset,314018806
188,betel,313469591
189,bevel,313296421
190,bezel,311757793
191,bible,311538382
192,bicep,311373936
193,biddy,310345867
194,bigot,310337185
195,bilge,309929179
196,billy,309676581
197,binge,307684103
198,bingo,306686983
199,biome,306559205
200,birch,306100813
201,birth,305930896
202,bison,305515604
203,bitty,305147791
204,black,304201237
205,blade,303249898
206,blame,302729303
207,bland,302311431
208,blank,301487430
209,blare,299280163
210,blast,297974790
211,blaze,297674493
212,bleak,297285731
213,bleat,296534935
214,bleed,295639201
215,bleep,294319118
216,blend,293178760
217,bless,292774716
218,blimp,291308910
219,blind,287719294
220,blink,287558448
221,bliss,287353021
222,blitz,286291411
223,bloat,286237372
224,block,284035693
225,bloke,283858893
226,blond,280827841
227,blood,280009597
228,bloom,277705910
229,blown,277546019
230,bluer,275510917
231,bluff,275369513
232,blunt,274103587
233,blurb,273620358
234,blurt,272336859
235,blush,271323986
236,board,270742935
237,boast,270014141
238,bobby,269448880
239,boney,268180843
240,bongo,266789622
241,bonus,266738068
242,booby,266376620
243,boost,264720374
244,booth,264448339
245,booty,264349801
246,booze,263851272
247,boozy,263777245
248,borax,261872866
249,borne,261839117
250,bosom,261390908
251,bossy,260937015
252,botch,259871557
253,bough,258690345
254,boule,256643812
255,bound,256530337
256,bowel,256521328
257,boxer,256443074
258,brace,256217838
259,braid,255436698
260,brain,254478181
261,brake,254164055
262,brand,252900442
263,brash,252519588
264,brass,252405204
265,brave,252231566
266,bravo,250245121
267,brawl,247541986
268,brawn,246429812
269,bread,245697701
270,break,244690155
271,breed,244491090
272,briar,244311841
273,bribe,243435728
274,brick,242876222
275,bride,242826246
276,brief,242783091
277,brine,242520455
278,bring,242326300
279,brink,242290578
280,briny,241864251
281,brisk,240402653
282,broad,239670331
283,broil,239271204
284,broke,238674296
285,brood,238581133
286,brook,235563000
287,broom,235262594
288,broth,234822585
289,brown,234001114
290,brunt,232749142
291,brush,232445953
292,brute,232251956
293,buddy,232011723
294,budge,232005894
295,buggy,231864260
296,bugle,231310420
297,build,231127472
298,built,230014019
299,bulge,228648541
300,bulky,227771642
301,bully,227567373
302,bunch,227534978
303,bunny,227125249
304,burly,227111505
305,burnt,226656153
306,burst,226596368
307,bused,226194991
308,bushy,225326739
309,butch,225218991
310,butte,224915894
311,buxom,224177047
312,buyer,223555915
313,bylaw,223417394
314,cabal,222649459
315,cabby,220970235
316,cabin,220812328
317,cable,220709925
318,cacao,220626128
319,cache,220523502
320,cacti,219516023
321,caddy,219190105
322,cadet,218945655
323,cagey,217986984
324,cairn,217856550
325,camel,217809513
326,cameo,217268632
327,canal,216987137
328,candy,216822128
329,canny,216690546
330,canoe,216432510
331,canon,216122487
332,caper,215560453
333,caput,215178488
334,carat,215000515
335,cargo,214997918
336,carol,214844153
337,carry,214702696
338,carve,214671907
339,caste,214302926
340,catch,214195457
341,cater,213378807
342,catty,212793848
343,caulk,212478717
344,cause,212361059
345,cavil,211243333
346,cease,210601244
347,cedar,209863729
348,cello,208780080
349,chafe,208371878
350,chaff,207858692
351,chain,207634179
352,chair,206582673
353,chalk,206538107
354,champ,206364495
355,chant,206211773
356,chaos,205629763
357,chard,204801202
358,charm,204486977
359,chart,204104275
360,chase,203611349
361,chasm,202950880
362,cheap,202755734
363,cheat,202563642
364,check,202346767
365,cheek,201854745
366,cheer,201692678
367,chess,201395192
368,chest,201235454
369,chick,201063526
370,chide,199694226
371,chief,199642644
372,child,199616754
373,chili,199608869
374,chill,198242904
375,chime,197874283
376,china,197293325
377,chirp,196676017
378,chock,196301245
379,choir,196109547
380,choke,195647953
381,chord,195011703
382,chore,193271293
383,chose,192535750
384,chuck,192000672
385,chump,191963867
386,chunk,191783393
387,churn,191087771
388,chute,190859046
389,cider,190433487
390,cigar,190205072
391,cinch,189509533
392,circa,189325890
393,civic,188985252
394,civil,188880495
395,clack,188691168
396,claim,187885878
397,clamp,187142519
398,clang,187062316
399,clank,186091095
400,clash,185555874
401,clasp,184815478
402,class,184777992
403,clean,184406888
404,clear,183237239
405,cleat,183202885
406,cleft,182739567
407,clerk,182579275
408,click,182545426
409,cliff,182061247
410,climb,181969355
411,cling,181556155
412,clink,181445531
413,cloak,181387042
414,clock,181075605
415,clone,181040994
416,close,180739802
417,cloth,180144029
418,cloud,179963886
419,clout,179813446
420,clove,179794224
421,clown,179652730
422,cluck,179615587
423,clued,179428286
424,clump,179224570
425,clung,178810033
426,coach,178250872
427,coast,177976652
428,cobra,177706929
429,cocoa,177153952
430,colon,176829177
431,color,176301486
432,comet,176299905
433,comfy,176295589
434,comic,176129154
435,comma,176093255
436,conch,175916536
437,condo,175527859
438,conic,174297802
439,copse,174232809
440,coral,174058407
441,corer,173839008
442,corny,173422161
443,couch,173346868
444,cough,173244220
445,could,173043002
446,count,172371546
447,coupe,171752631
448,court,171687825
449,coven,169256248
450,cover,169231297
451,covet,168957006
452,covey,168673045
453,cower,168532149
454,coyly,167827453
455,crack,167587791
456,craft,167518537
457,cramp,167202060
458,crane,166811948
459,crank,166657334
460,crash,166005029
461,crass,165863763
462,crate,165671626
463,crave,165341452
464,crawl,164834442
465,craze,163957176
466,crazy,163951797
467,creak,163363054
468,cream,163308383
469,credo,162390150
470,creed,162076395
471,creek,162033390
472,creep,162023431
473,creme,161913408
474,crepe,161518557
475,crept,161205740
476,cress,160961088
477,crest,160850401
478,crick,160812623
479,cried,160746244
480,crier,160573748
481,crime,159785849
482,crimp,159603914
483,crisp,159595214
484,croak,159478972
485,crock,159343399
486,crone,159287179
487,crony,158982297
488,crook,158887256
489,cross,158421100
490,croup,158410645
491,crowd,158281269
492,crown,157960401
493,crude,157182255
494,cruel,157079378
495,crumb,156845267
496,crump,156703712
497,crush,156667525
498,crust,155733641
499,crypt,155284081
500,cubic,155254497
501,cumin,154999587
502,curio,154527125
503,curly,154326119
504,curry,154301106
505,curse,153788544
506,curve,153460135
507,curvy,152978354
508,cutie,152776595
509,cyber,152155277
510,cycle,151553180
511,cynic,151531225
512,daddy,151350397
513,daily,151008079
514,dairy,150781416
515,daisy,150748333
516,dally,150610176
517,dance,150106274
518,dandy,149976767
519,datum,149556758
520,daunt,149320234
521,dealt,149312237
522,death,149130754
523,debar,149001702
524,debit,148628729
525,debug,148330257
526,debut,147969893
527,decal,147675944
528,decay,147259825
529,decor,147177212
530,decoy,146906651
531,decry,146749448
532,defer,145701629
533,deign,145490029
534,deity,145430147
535,delay,145057782
536,delta,145041426
537,delve,144707500
538,demon,144646164
539,demur,144298238
540,denim,144200144
541,dense,143590165
542,depot,143062438
543,depth,142498232
544,derby,142087909
545,deter,142048771
546,detox,141894620
547,deuce,141765729
548,devil,141548802
549,diary,141210433
550,dicey,141155373
551,digit,141076205
552,dilly,141012024
553,dimly,140799532
554,diner,140688602
555,dingo,140479833
556,dingy,139710600
557,diode,139566375
558,dirge,139563801
559,dirty,139459917
560,disco,139242226
561,ditch,138517992
562,ditto,138433809
563,ditty,137696613
564,diver,137679195
565,dizzy,137134662
566,dodge,137089538
567,dodgy,137071122
568,dogma,136862835
569,doing,136560842
570,dolly,136341684
571,donor,136214727
572,donut,136103455
573,dopey,135289140
574,doubt,135132664
575,dough,135037085
576,dowdy,134939426
577,dowel,134754203
578,downy,133102742
579,dowry,132725767
580,dozen,132685190
581,draft,132428495
582,drain,132369252
583,drake,132325396
584,drama,132187702
585,drank,132141721
586,drape,132095202
587,drawl,131952173
588,drawn,131836210
589,dread,131800620
590,dream,131417909
591,dress,130644510
592,dried,130570251
593,drier,130531484
594,drift,130326009
595,drill,130054708
596,drink,129399241
597,drive,129301730
598,droit,129198530
599,droll,129167110
600,drone,129054826
601,drool,128994593
602,droop,128740445
603,dross,128427156
604,drove,128314924
605,drown,128251365
606,druid,127768853
607,drunk,127719981
608,dryer,127704851
609,dryly,127634767
610,duchy,127425045
611,dully,127014703
612,dummy,126699632
613,dumpy,126645151
614,dunce,126517399
615,dusky,126461152
616,dusty,126228968
617,dutch,126160941
618,duvet,125814267
619,dwarf,125787543
620,dwell,125548527
621,dwelt,125542966
622,dying,125524478
623,eager,125515260
624,eagle,125340846
625,early,124949540
626,earth,124620318
627,easel,124500817
628,eaten,124472054
629,eater,124198695
630,ebony,124116581
631,eclat,123595776
632,edict,123311561
633,edify,123196001
634,eerie,123162607
635,egret,123160529
636,eight,123027963
637,eject,122592252
638,eking,122498186
639,elate,121986327
640,elbow,121844371
641,elder,121505269
642,elect,121345834
643,elegy,121296661
644,elfin,121218500
645,elide,121094522
646,elite,121087620
647,elope,121079315
648,elude,120978063
649,email,120814306
650,embed,120548796
651,ember,120495036
652,emcee,120272948
653,empty,119974321
654,enact,119747393
655,endow,119602514
656,enema,119394206
657,enemy,119376975
658,enjoy,119294962
659,ennui,119294241
660,ensue,119150817
661,enter,119014988
662,entry,118978625
663,envoy,118818608
664,epoch,118410414
665,epoxy,118127636
666,equal,118106080
667,equip,117951402
668,erase,117696064
669,erect,117672845
670,erode,117451031
671,error,117213565
672,erupt,117119498
673,essay,116883588
674,ester,116495721
675,ether,116282824
676,ethic,116097842
677,ethos,115504667
678,etude,115205090
679,evade,115168234
680,event,114532201
681,every,114515959
682,evict,114452742
683,evoke,114384208
684,exact,114025350
685,exalt,113841948
686,excel,113788074
687,exert,113756376
688,exile,113691786
689,exist,113624357
690,expel,113453183
691,extol,113316224
692,extra,113285624
693,exult,113090086
694,eying,113067567
695,fable,112965658
696,facet,112902176
697,faint,112893718
698,fairy,112837472
699,faith,112466751
700,false,112385243
701,fancy,112197265
702,fanny,111973466
703,farce,111971865
704,fatal,111882023
705,fatty,111397714
706,fault,111394818
707,fauna,111356320
708,favor,111279626
709,feast,111229798
710,fecal,111199035
711,feign,111192257
712,fella,111170350
713,felon,111064464
714,femme,110732827
715,femur,110528740
716,fence,110323671
717,feral,110086585
718,ferry,110051463
719,fetal,109717836
720,fetch,109697600
721,fetid,109596213
722,fetus,109553730
723,fever,109528141
724,fewer,109504766
725,fiber,109416386
726,fibre,109389038
727,ficus,109360096
728,field,109213691
729,fiend,109067044
730,fiery,108389630
731,fifth,108324565
732,fifty,108287905
733,fight,108024858
734,filer,107853068
735,filet,107839275
736,filly,107799371
737,filmy,107785779
738,filth,107589584
739,final,107497778
740,finch,107483376
741,finer,107215961
742,first,107145206
743,fishy,107121885
744,fixer,106978150
745,fizzy,106755242
746,fjord,106466033
747,flack,106405208
748,flail,106400213
749,flair,106342539
750,flake,106154969
751,flaky,106119933
752,flame,106103720
753,flank,105946662
754,flare,105891641
755,flash,105837757
756,flask,105642682
757,fleck,105625616
758,fleet,105101771
759,flesh,105014961
760,flick,104908310
761,flier,104251062
762,fling,104230315
763,flint,104165769
764,flirt,103921220
765,float,103906182
766,flock,103878661
767,flood,103731642
768,floor,103697915
769,flora,103521037
770,floss,103331913
771,flour,103203080
772,flout,103132933
773,flown,102837602
774,fluff,102812628
775,fluid,102792861
776,fluke,102711715
777,flume,102698139
778,flung,102580860
779,flunk,102552342
780,flush,102316998
781,flute,102234743
782,flyer,102234090
783,foamy,102159580
784,focal,101987691
785,focus,101959294
786,foggy,101771329
787,foist,101338951
788,folio,101325723
789,folly,101303808
790,foray,101090970
791,force,101024266
792,forge,100907064
793,forgo,100886343
794,forte,100868970
795,forth,100765188
796,forty,100637505
797,forum,100502612
798,found,100264634
799,foyer,100237452
800,frail,100013194
801,frame,100012522
802,frank,100010833
803,fraud,99964083
804,freak,99420744
805,freed,99324182
806,freer,99143011
807,fresh,98839705
808,friar,98703772
809,fried,98671341
810,frill,98581698
811,frisk,98528318
812,fritz,98494166
813,frock,98081439
814,frond,98056850
815,front,97850837
816,frost,97837595
817,froth,97747750
818,frown,97658641
819,froze,97649084
820,fruit,97583096
821,fudge,97561755
822,fugue,97451660
823,fully,97258243
824,fungi,97233632
825,funky,97167128
826,funny,97049762
827,furor,96733793
828,furry,96602880
829,fussy,96554164
830,fuzzy,96269550
831,gaffe,96242209
832,gaily,96020036
833,gamer,95606752
834,gamma,95489240
835,gamut,95488543
836,gassy,95412416
837,gaudy,95373445
838,gauge,95289449
839,gaunt,95132338
840,gauze,95096787
841,gavel,94815082
842,gawky,94800899
843,gayer,94730251
844,gayly,94700371
845,gazer,94501729
846,gecko,94477370
847,geeky,94159529
848,geese,94113765
849,genie,94069113
850,genre,94036312
851,ghost,93941472
852,ghoul,93878887
853,giant,93807963
854,giddy,93714361
855,gipsy,93483319
856,girly,93450595
857,girth,93401669
858,given,93275872
859,giver,93061804
860,glade,93044306
861,gland,92803600
862,glare,92709785
863,glass,92603476
864,glaze,92579731
865,gleam,92551460
866,glean,92456246
867,glide,92431559
868,glint,92151641
869,gloat,92039679
870,globe,92006970
871,gloom,92002729
872,glory,91924001
873,gloss,91905891
874,glove,91559349
875,glyph,91486135
876,gnash,91398411
877,gnome,91388083
878,godly,91189968
879,going,91156139
880,golem,90910143
881,golly,90854231
882,gonad,90810423
883,goner,90612739
884,goody,90554932
885,gooey,90535679
886,goofy,90506560
887,goose,90478880
888,gorge,90249265
889,gouge,90210309
890,gourd,90037485
891,grace,90010174
892,grade,90001988
893,graft,89828494
894,grail,89826560
895,grain,89780234
896,grand,89749339
897,grant,89744012
898,grape,89396475
899,graph,89324930
900,grasp,89154690
901,grass,89139125
902,grate,89075990
903,grave,88770071
904,gravy,88712797
905,graze,88506935
906,great,88447610
907,greed,88332962
908,green,88328938
909,greet,88097391
910,grief,87897688
911,grill,87882874
912,grime,87829598
913,grimy,87824220
914,grind,87791839
915,gripe,87785549
916,groan,87661475
917,groin,87572240
918,groom,87441704
919,grope,87391857
920,gross,87139187
921,group,87019836
922,grout,86985936
923,grove,86808185
924,growl,86573186
925,grown,86527408
926,gruel,86395556
927,gruff,86290420
928,grunt,86255673
929,guard,86147277
930,guava,85964618
931,guess,85775901
932,guest,85617922
933,guide,85584600
934,guild,85523201
935,guile,85333514
936,guilt,85326896
937,guise,85262640
938,gulch,85245033
939,gully,85241485
940,gumbo,85202530
941,gummy,85043687
942,guppy,84923632
943,gusto,84857974
944,gusty,84840226
945,gypsy,84808711
946,habit,84804638
947,hairy,84697675
948,halve,84568679
949,handy,84556943
950,happy,84399520
951,hardy,84333183
952,harem,84317690
953,harpy,84084764
954,harry,84065293
955,harsh,84037810
956,haste,84002445
957,hasty,83949754
958,hatch,83901920
959,hater,83845349
960,haunt,83671730
961,haute,83625620
962,haven,83592616
963,havoc,83559486
964,hazel,83444756
965,heady,83431590
966,heard,83216831
967,heart,83166717
968,heath,83135749
969,heave,83094022
970,heavy,83082522
971,hedge,83015916
972,hefty,82807978
973,heist,82807581
974,helix,82646962
975,hello,82515596
976,hence,82399410
977,heron,82342853
978,hilly,82222044
979,hinge,82179578
980,hippo,82178167
981,hippy,82113875
982,hitch,82024459
983,hoard,82021775
984,hobby,81983061
985,hoist,81965610
986,holly,81913366
987,homer,81894680
988,honey,81652767
989,honor,81596309
990,horde,81561217
991,horny,81444510
992,horse,81396759
993,hotel,81320471
994,hotly,81258789
995,hound,81110725
996,house,80821946
997,hovel,80821333
998,hover,80755612
999,howdy,80717798
1000,human,80694073
1001,humid,80659036
1002,humor,80605361
1003,humph,80583907
1004,humus,80566883
1005,hunch,80526622
1006,hunky,80328029
1007,hurry,80312172
1008,husky,79998480
1009,hussy,79958318
1010,hutch,79915539
1011,hydro,79791224
1012,hyena,79697206
1013,hymen,79665774
1014,hyper,79633609
1015,icily,79615682
1016,icing,79579407
1017,ideal,79424420
1018,idiom,79323162
1019,idiot,79255339
1020,idler,79240506
1021,idyll,79199815
1022,igloo,79172952
1023,iliac,79105156
1024,image,78992643
1025,imbue,78967124
1026,impel,78843808
1027,imply,78817488
1028,inane,78774169
1029,inbox,78421168
1030,incur,78365831
1031,index,78365291
1032,inept,78292986
1033,inert,78078059
1034,infer,78051775
1035,ingot,77914316
1036,inlay,77752808
1037,inlet,77749471
1038,inner,77574804
1039,input,77515342
1040,inter,77515175
1041,intro,77375075
1042,ionic,77353032
1043,irate,77333335
1044,irony,77295630
1045,islet,77287578
1046,issue,77271631
1047,itchy,77203075
1048,ivory,77183863
1049,jaunt,77079447
1050,jazzy,77070740
1051,jelly,77038135
1052,jerky,76855129
1053,jetty,76806341
1054,jewel,76707502
1055,jiffy,76659163
1056,joint,76597151
1057,joist,76580951
1058,joker,76528079
1059,jolly,76445684
1060,joust,76341478
1061,judge,76212141
1062,juice,76100888
1063,juicy,75993177
1064,jumbo,75985266
1065,jumpy,75976795
1066,junta,75963033
1067,junto,75960822
1068,juror,75918053
1069,kappa,75604082
1070,karma,75594829
1071,kayak,75532722
1072,kebab,75480922
1073,khaki,75393868
1074,kinky,75287070
1075,kiosk,75196717
1076,kitty,74796251
1077,knack,74773048
1078,knave,74748656
1079,knead,74702459
1080,kneed,74359141
1081,kneel,74283471
1082,knelt,74230978
1083,knife,74170036
1084,knock,74160962
1085,knoll,74145758
1086,known,74073467
1087,koala,74073375
1088,krill,74043644
1089,label,74026748
1090,labor,74000589
1091,laden,73877124
1092,ladle,73689002
1093,lager,73664932
1094,lance,73571749
1095,lanky,73434482
1096,lapel,73286694
1097,lapse,73220509
1098,large,73183983
1099,larva,73108213
1100,lasso,73064522
1101,latch,73010727
1102,later,72879426
1103,lathe,72606927
1104,latte,72604405
1105,laugh,72603888
1106,layer,72576719
1107,leach,72553085
1108,leafy,72528782
1109,leaky,72455943
1110,leant,72427611
1111,leapt,72285198
1112,learn,72056920
1113,lease,71972425
1114,leash,71918906
1115,least,71829013
1116,leave,71814690
1117,ledge,71765763
1118,leech,71518871
1119,leery,71383598
1120,lefty,71366336
1121,legal,71289039
1122,leggy,71269325
1123,lemon,71268723
1124,lemur,71248807
1125,leper,71229404
1126,level,71013577
1127,lever,71006471
1128,libel,70957750
1129,liege,70912501
1130,light,70859771
1131,liken,70832130
1132,lilac,70639535
1133,limbo,70639358
1134,limit,70613606
1135,linen,70595127
1136,liner,70551270
1137,lingo,70427114
1138,lipid,70420316
1139,lithe,70277573
1140,liver,70164946
1141,livid,70113140
1142,llama,70082598
1143,loamy,70033623
1144,loath,69997427
1145,lobby,69946284
1146,local,69921273
1147,locus,69889118
1148,lodge,69843013
1149,lofty,69819261
1150,logic,69734771
1151,login,69671201
1152,loopy,69665958
1153,loose,69529976
1154,lorry,69469598
1155,loser,69444655
1156,louse,69395609
1157,lousy,69315004
1158,lover,69194446
1159,lower,69189527
1160,lowly,69066566
1161,loyal,69062618
